block_size_x,block_size_y,nvml_pwr_limit,sm__warps_active.avg.pct_of_peak_sustained_active,sm__warps_active.max.pct_of_peak_sustained_active,sm__cycles_active.avg.pct_of_peak_sustained_active,temperature,time,times,pwr_temperature,nvml_power,nvml_energy,compile_time,verification_time,benchmark_time,Joules/token,FLOPS/Watt,SM_Active_Avg,Temperature,SM_Eff,strategy_time,framework_time,timestamp,run_label,batch_size,seq_len,nhead,dim_per_head
128,1,185,8.332050071178273,,100.0,63.0,0.027708800137043,"[0.020287999883294106, 0.031936001032590866, 0.03046399913728237, 0.028896000236272812, 0.02848000079393387, 0.028351999819278717, 0.027648000046610832, 0.027424000203609467, 0.026847999542951584, 0.02675200067460537]",64.0,103.077,0.0028561399917259,712.8936590161175,0,685.245918110013,2.789199210669904e-06,2937043710.847912,8.332050071178273,63.0,,0.0587101094424724,52.13790782727301,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,1024,115,65.91683483273398,,100.0,63.0,0.0368960006162524,"[0.029184000566601753, 0.04182400181889534, 0.03984000161290169, 0.0382080003619194, 0.03728000074625015, 0.03702399879693985, 0.036448001861572266, 0.03673600032925606, 0.03622400015592575, 0.03619199991226196]",65.0,116.43,0.0042958013517502,713.7019720394164,0,926.6940981615336,4.195118507568623e-06,1952745788.997475,65.91683483273398,63.0,,0.1327709760516882,49.01068680919707,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
2,128,235,16.65174479226025,,100.0,63.0,0.0185120002366602,"[0.011327999643981457, 0.023360000923275948, 0.02022399939596653, 0.018592000007629395, 0.019680000841617584, 0.018688000738620758, 0.018848000094294548, 0.017855999991297722, 0.01833599992096424, 0.01820800080895424]",66.0,145.807,0.0026991792185067,717.5460481084883,0,533.590110950172,2.6359172055729683e-06,3107836612.879997,16.65174479226025,63.0,,0.1210907939821481,48.03039017133415,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
4,16,135,4.166297579972363,,100.0,64.0,0.0166047999635338,"[0.009983999654650688, 0.022112000733613968, 0.018271999433636665, 0.017023999243974686, 0.016224000602960587, 0.0161920003592968, 0.01600000075995922, 0.017376000061631203, 0.016831999644637108, 0.01603199914097786]",64.0,112.796,0.0018729550166867,710.2441459428519,0,502.6082270778716,1.8290576334831712e-06,4478809114.614689,4.166297579972363,64.0,,0.1200099941343069,48.36736503057182,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
4,16,215,4.166290384485133,,100.0,63.0,0.0169535998255014,"[0.009983999654650688, 0.021824000403285027, 0.019392000511288643, 0.01817600056529045, 0.016575999557971954, 0.01651199907064438, 0.016543999314308167, 0.017983999103307724, 0.016416000202298164, 0.016127999871969223]",64.0,112.189,0.0019020074108231,715.8473639283329,0,491.42444995231926,1.8574291121320128e-06,4410397116.365306,4.166290384485133,63.0,,0.1231709029525518,49.42300822585821,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
64,2,115,8.33207223567393,,100.0,63.0,0.027551999874413,"[0.020255999639630318, 0.03161599859595299, 0.030079999938607216, 0.028704000636935234, 0.028896000236272812, 0.028095999732613564, 0.027871999889612198, 0.026944000273942947, 0.026335999369621277, 0.02672000043094158]",64.0,102.9,0.002835100787077,710.9299290459603,0,682.000997941941,2.76865311237998e-06,2958839431.118917,8.33207223567393,63.0,,0.1216710079461336,49.97329507023096,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,256,235,16.649953911901903,,100.0,63.0,0.0179935998283326,"[0.011071999557316303, 0.023072000592947006, 0.019711999222636223, 0.018432000651955605, 0.0180479995906353, 0.018688000738620758, 0.01759999990463257, 0.01775999926030636, 0.018303999677300453, 0.01724799908697605]",69.0,188.354,0.0033891665020657,712.6085888594389,0,522.987375035882,3.3097329121736043e-06,2475124192.006194,16.649953911901903,63.0,,0.1356108114123344,52.636591251939535,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,512,150,33.03822803052387,,100.0,62.0,0.0208064001053571,"[0.013248000293970108, 0.02537599951028824, 0.02252800017595291, 0.022495999932289124, 0.02179200015962124, 0.02112000063061714, 0.02051199972629547, 0.020160000771284103, 0.020255999639630318, 0.020576000213623047]",66.0,153.575,0.0031953428961802,0.0,0,0.0,3.120452047051003e-06,2625260659.827119,33.03822803052387,62.0,,0.1284708268940448,0.3012020606547594,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
8,128,250,66.30606920473316,,100.0,63.0,0.0455487992614507,"[0.03814399987459183, 0.05119999870657921, 0.048287998884916306, 0.046879999339580536, 0.045791998505592346, 0.04543999955058098, 0.04495999962091446, 0.04479999840259552, 0.04464000090956688, 0.045343998819589615]",64.0,112.756,0.0051359004095241,0.0,0,0.0,5.0155277436759205e-06,1633327621.4709997,66.30606920473316,63.0,,0.079100951552391,0.0927099026739597,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
128,2,250,16.659586754870777,,100.0,64.0,0.0402015998959541,"[0.03270399942994118, 0.04566400125622749, 0.04227200150489807, 0.04121600091457367, 0.04009599983692169, 0.040031999349594116, 0.040383998304605484, 0.039712000638246536, 0.03996799886226654, 0.03996799886226654]",64.0,103.844,0.0041746949395954,716.559095075354,0,787.6750321593136,4.076850526948692e-06,2009394248.2927573,16.659586754870777,64.0,,0.0663509126752615,52.521290723234415,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
4,32,135,8.330320206872287,,100.0,64.0,0.0178624002262949,"[0.01027199998497963, 0.022816000506281853, 0.019936000928282738, 0.018271999433636665, 0.022784000262618065, 0.017376000061631203, 0.016448000445961952, 0.01711999997496605, 0.016672000288963318, 0.01692800037562847]",65.0,117.019,0.0020902402120808,715.1789339259267,0,484.4902688637376,2.04125020711017e-06,4013226782.030579,8.330320206872287,64.0,,0.1440211199223995,52.57736099883914,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
64,16,200,66.49043106711578,,100.0,64.0,0.1238144010305404,"[0.11580800265073776, 0.12886400520801544, 0.1266240030527115, 0.12518399953842163, 0.12412799894809723, 0.12464000284671783, 0.12336000055074692, 0.12300799787044525, 0.12319999933242798, 0.12332800030708313]",64.0,101.851,0.0126106205593615,713.9984739478678,0,951.7754660919308,1.231505914000154e-05,665201840.0294079,66.49043106711578,64.0,,0.135489972308278,48.96722896955907,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,1024,215,65.9169924327802,,100.0,64.0,0.0371680000796914,"[0.029120000079274178, 0.041439998894929886, 0.03964800015091896, 0.03798399865627289, 0.03814399987459183, 0.03731200098991394, 0.03932800143957138, 0.03657599911093712, 0.036320000886917114, 0.03580800071358681]",72.0,213.7,0.00794280161703,715.0909400079399,0,761.7466300725937,7.756642204130913e-06,1056127095.2574338,65.9169924327802,64.0,,0.1464211381971836,48.59210387803614,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
8,64,165,33.17103590106936,,100.0,63.0,0.02903360016644,"[0.02115200087428093, 0.03347200155258179, 0.031936001032590866, 0.030271999537944794, 0.028736000880599022, 0.02953599952161312, 0.028896000236272812, 0.028575999662280083, 0.028991999104619026, 0.02876799926161766]",64.0,112.45,0.0032648283387161,0.0,0,0.0,3.1883089245275188e-06,2569387155.987084,33.17103590106936,63.0,,0.1331609673798084,0.3030318766832351,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
32,32,235,66.49102547818832,,100.0,64.0,0.1240479998290538,"[0.11593600362539291, 0.12950399518013, 0.12636800110340118, 0.1244800016283989, 0.12464000284671783, 0.12415999919176102, 0.12399999797344208, 0.12399999797344208, 0.12358400225639343, 0.12380799651145935]",64.0,103.649,0.0128574511342816,716.3418480195105,0,950.9533671662213,1.255610462332188e-05,652431645.4630417,66.49102547818832,64.0,,0.0868809875100851,49.7877118177712,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,32,100,2.083333333333333,,100.0,60.0,0.0143968000542372,"[0.00774399982765317, 0.019807999953627586, 0.016896000131964684, 0.014720000326633453, 0.01414399966597557, 0.014816000126302242, 0.014112000353634357, 0.01369599997997284, 0.013632000423967838, 0.014399999752640724]",61.0,0.0,0.0,0.0,0,0.0,1000000.0,0.0,2.083333333333333,60.0,,22.30888302437961,0.3016120754182338,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,32,115,2.083333333333333,,100.0,64.0,0.0163360000587999,"[0.009568000212311745, 0.021376000717282295, 0.018464000895619392, 0.01724799908697605, 0.01708799973130226, 0.01651199907064438, 0.0161920003592968, 0.01548799965530634, 0.015744000673294067, 0.01568000018596649]",65.0,116.162,0.0018976224388303,709.5033191144466,0,484.775936929509,1.8531469129202376e-06,4420588536.658883,2.083333333333333,64.0,,0.2844319678843021,42.99200489185751,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,32,250,2.083333333333333,,100.0,64.0,0.0163391999900341,"[0.009535999968647957, 0.02160000056028366, 0.018880000337958336, 0.017152000218629837, 0.016287999227643013, 0.01635199971497059, 0.015936000272631645, 0.015904000028967857, 0.015647999942302704, 0.016095999628305435]",65.0,125.922,0.002057464741145,691.3922228850424,0,482.1031368337572,2.009242911274486e-06,4077157597.0392337,2.083333333333333,64.0,,0.2238419838249683,53.60134830698371,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,32,135,2.083333333333333,,100.0,64.0,0.0161888002417981,"[0.009568000212311745, 0.021247999742627144, 0.018432000651955605, 0.017696000635623932, 0.016672000288963318, 0.016416000202298164, 0.015519999898970127, 0.015168000012636185, 0.015456000342965126, 0.01571200042963028]",65.0,126.069,0.0020409058576832,723.2299910392612,0,482.29889711365104,1.9930721266438013e-06,4110237602.7880006,2.083333333333333,64.0,,2.366575878113508,42.81595395877957,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,32,150,2.083333333333333,,100.0,64.0,0.0163264000788331,"[0.009600000455975533, 0.02131200022995472, 0.019200000911951065, 0.01817600056529045, 0.0161920003592968, 0.016543999314308167, 0.016063999384641647, 0.015135999768972397, 0.015359999611973763, 0.01568000018596649]",65.0,125.9,0.002055493769925,690.0070020928979,0,482.1818259079009,2.0073181346924687e-06,4081067100.634278,2.083333333333333,64.0,,0.3642220981419086,49.33377890847623,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1024,1,250,60.18650336323714,,100.0,63.0,0.0259423999115824,"[0.018751999363303185, 0.030239999294281006, 0.028896000236272812, 0.026815999299287796, 0.02627200074493885, 0.026079999282956123, 0.0261439997702837, 0.02550400048494339, 0.025407999753952026, 0.025312000885605812]",64.0,103.539,0.0026860501444453,0.0,0,0.0,2.6230958441849e-06,3123027325.959407,60.18650336323714,63.0,,0.2150309737771749,0.295272096991539,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,32,165,2.083333333333333,,100.0,64.0,0.0163583999499678,"[0.009727999567985535, 0.021344000473618507, 0.018719999119639397, 0.017503999173641205, 0.016767999157309532, 0.01648000068962574, 0.015968000516295433, 0.015776000916957855, 0.01539199985563755, 0.015904000028967857]",65.0,125.96,0.0020605040576979,722.1180610358715,0,482.1154149249196,2.012210993845656e-06,4071143645.003043,2.083333333333333,64.0,,2.253465121611953,46.26516788266599,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,32,185,2.083333333333333,,100.0,64.0,0.0160096002742648,"[0.009568000212311745, 0.02127999998629093, 0.017952000722289085, 0.016736000776290894, 0.016224000602960587, 0.01603199914097786, 0.015424000099301338, 0.015744000673294067, 0.01539199985563755, 0.015744000673294067]",65.0,126.025,0.0020176098745642,701.9594619050622,0,487.7707741688937,1.970322143129124e-06,4157695749.6859145,2.083333333333333,64.0,,0.3697217907756567,43.57357835397124,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1024,1,150,59.95872867904064,,100.0,64.0,0.0439295995980501,"[0.03331200033426285, 0.07897599786520004, 0.04307200014591217, 0.04195199906826019, 0.04124800115823746, 0.040863998234272, 0.04012800008058548, 0.03993599861860275, 0.03984000161290169, 0.03996799886226654]",64.0,104.626,0.0045961782875455,701.3452171813697,0,732.7043411787599,4.488455358931242e-06,1825126762.974116,59.95872867904064,64.0,,0.227541197091341,52.65364050865173,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,32,200,2.083333333333333,,100.0,64.0,0.0162528000771999,"[0.009568000212311745, 0.02191999927163124, 0.018400000408291817, 0.01756799966096878, 0.016896000131964684, 0.015968000516295433, 0.015744000673294067, 0.015552000142633915, 0.01539199985563755, 0.015519999898970127]",65.0,126.067,0.0020489417473323,726.8248200416565,0,482.18706413172185,2.000919675129262e-06,4094117371.038788,2.083333333333333,64.0,,2.3237259592860937,22.98769680783153,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,32,215,2.083333333333333,,100.0,64.0,0.0163423999212682,"[0.009568000212311745, 0.02143999934196472, 0.018751999363303185, 0.017152000218629837, 0.01664000004529953, 0.01651199907064438, 0.01616000011563301, 0.015647999942302704, 0.015552000142633915, 0.01600000075995922]",65.0,125.968,0.0020586194332823,703.9118218235672,0,482.4363449588418,2.0103705403147614e-06,4074870694.5921454,2.083333333333333,64.0,,0.3628330305218696,49.34118711389601,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
8,128,100,66.20152899774219,,100.0,63.5,0.0532063998281955,"[0.04527999833226204, 0.05833600088953972, 0.05548800155520439, 0.05462399870157242, 0.05363199859857559, 0.05347200110554695, 0.053119998425245285, 0.05302400141954422, 0.05241600051522255, 0.052671998739242554]",64.0,100.691,0.0053574056051008,701.0504810605198,0,842.1043858397752,5.231841411231289e-06,1565796696.8215215,66.20152899774219,63.5,,0.2142519224435091,51.17029114626348,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,32,235,2.083333333333333,,100.0,63.0,0.0160352002829313,"[0.009535999968647957, 0.02112000063061714, 0.018464000895619392, 0.016704000532627106, 0.01600000075995922, 0.01587199978530407, 0.015359999611973763, 0.016448000445961952, 0.015519999898970127, 0.01532800029963255]",65.0,125.993,0.0020203229892473,720.5197531729937,0,486.9857628364116,1.9729716691868813e-06,4152112332.852788,2.083333333333333,63.0,,2.3704259656369686,42.158039985224605,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,64,100,4.166272209556366,,100.0,63.0,0.016483199968934,"[0.009824000298976898, 0.022143999114632607, 0.018464000895619392, 0.017823999747633934, 0.016672000288963318, 0.01616000011563301, 0.015552000142633915, 0.01708799973130226, 0.015807999297976494, 0.015296000055968761]",64.0,102.085,0.0016826874688286,691.0119799431413,0,509.7736290190369,1.643249481277962e-06,4985244233.047953,4.166272209556366,63.0,,0.3919829614460468,49.781080102548,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
32,1,250,2.083333333333333,,100.0,63.0,0.0181920001283288,"[0.010751999914646149, 0.022911999374628067, 0.02022399939596653, 0.019071999937295914, 0.018783999606966972, 0.01942400075495243, 0.017472000792622566, 0.017920000478625298, 0.016992000862956047, 0.01836800016462803]",64.0,103.835,0.001888966333325,0.0,0,0.0,1.844693684887716e-06,4440845690.052134,2.083333333333333,63.0,,0.2474009525030851,0.2912632189691067,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,64,115,4.166290299065658,,100.0,63.0,0.0161663999781012,"[0.009664000011980534, 0.021023999899625778, 0.01865600049495697, 0.016672000288963318, 0.016287999227643013, 0.01616000011563301, 0.01616000011563301, 0.01583999954164028, 0.01548799965530634, 0.01571200042963028]",65.0,116.553,0.0018842424166476,720.9647141862661,0,501.41461100429296,1.8400804850074569e-06,4451979175.229829,4.166290299065658,63.0,,1.936343964189291,45.91628396883607,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
32,1,100,2.083333333333333,,100.0,63.0,0.0201119998469948,"[0.012927999719977379, 0.02486399933695793, 0.021344000473618507, 0.021183999255299568, 0.02179200015962124, 0.02038400061428547, 0.019392000511288643, 0.019711999222636223, 0.01974399946630001, 0.0197759997099638]",64.0,102.368,0.0020588252003371,692.3509270418435,0,546.0355759132653,2.0105714847042687e-06,4074463436.0538273,2.083333333333333,63.0,,0.2254920545965433,46.20793485082686,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,64,135,4.166294237400161,,100.0,63.0,0.0161599998362362,"[0.009535999968647957, 0.020959999412298203, 0.018719999119639397, 0.016863999888300896, 0.016896000131964684, 0.016416000202298164, 0.015424000099301338, 0.01548799965530634, 0.015168000012636185, 0.016127999871969223]",65.0,134.302,0.0021703202980061,725.8936958387494,0,485.1093080360442,2.1194534160216787e-06,3865147465.886181,4.166294237400161,63.0,,2.0523539278656244,41.30306118167937,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1024,1,100,60.17890565101701,,100.0,63.0,0.0260640000924468,"[0.018912000581622124, 0.03033600002527237, 0.029120000079274178, 0.02751999907195568, 0.026399999856948853, 0.02643200010061264, 0.025919999927282333, 0.025248000398278236, 0.02502400055527687, 0.025728000327944756]",64.0,102.173,0.0026630370814455,0.0,0,0.0,2.600622149849187e-06,3150015468.596645,60.17890565101701,63.0,,0.2579509746283293,0.2946930471807718,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,64,150,4.166264299724182,,100.0,63.0,0.0165727998130023,"[0.009664000011980534, 0.021503999829292297, 0.018783999606966972, 0.017535999417304993, 0.017311999574303627, 0.016831999644637108, 0.016063999384641647, 0.015936000272631645, 0.016095999628305435, 0.01600000075995922]",65.0,135.186,0.0022404105155205,726.6943999566138,0,481.7816740833223,2.187900894063023e-06,3744228096.5419393,4.166264299724182,63.0,,1.882642973214388,45.86949408985674,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
128,8,150,66.51532986044202,,100.0,63.0,0.1238432005047798,"[0.11580800265073776, 0.12889599800109863, 0.12585599720478058, 0.12534399330615997, 0.1233920007944107, 0.1236800029873848, 0.12348800152540207, 0.12508800625801086, 0.12336000055074692, 0.12352000176906586]",64.0,102.798,0.0127308333254903,699.0179098211229,0,946.1363488808274,1.2432454419424175e-05,658920573.8169456,66.51532986044202,63.0,,0.2336220350116491,0.470372149720788,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,64,165,4.166297187691859,,100.0,63.0,0.0159647999331355,"[0.009568000212311745, 0.021407999098300934, 0.018015999346971512, 0.016992000862956047, 0.01600000075995922, 0.016287999227643013, 0.015647999942302704, 0.015424000099301338, 0.014944000169634819, 0.015359999611973763]",65.0,135.307,0.0021601491845527,727.9441859573126,0,490.5859329737723,2.1095206880398105e-06,3883346604.015576,4.166297187691859,63.0,,3.1939931213855743,41.4342419244349,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,1024,250,65.92087565384297,,100.0,63.0,0.0370816001668572,"[0.029120000079274178, 0.04217600077390671, 0.040192000567913055, 0.03791999816894531, 0.03721600025892258, 0.03721600025892258, 0.036959998309612274, 0.03686400130391121, 0.03638400137424469, 0.036768000572919846]",71.0,213.818,0.007928713584477,698.8623449578881,0,761.7447751108557,7.742884359840902e-06,1058003661.0760292,65.92087565384297,63.0,,0.2468109596520662,46.56026000156999,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,64,185,4.166260094152121,,100.0,64.0,0.0160704001784324,"[0.009600000455975533, 0.021568000316619873, 0.018432000651955605, 0.01724799908697605, 0.0161920003592968, 0.016448000445961952, 0.015168000012636185, 0.015296000055968761, 0.01532800029963255, 0.015424000099301338]",66.0,135.642,0.0021798212210029,731.7612590268254,0,487.11141804233193,2.12873166113568e-06,3848300915.311027,4.166260094152121,64.0,,2.112834947183728,43.41391590423882,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1024,1,200,60.20314085936618,,100.0,63.0,0.0259808000177145,"[0.018719999119639397, 0.031039999797940254, 0.02848000079393387, 0.026944000273942947, 0.026559999212622643, 0.02595200017094612, 0.025536000728607178, 0.02582399919629097, 0.025312000885605812, 0.025439999997615814]",64.0,103.429,0.0026871681650321,0.0,0,0.0,2.624187661164252e-06,3121727962.2317576,60.20314085936618,63.0,,0.2273109275847673,0.2969121560454368,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,64,200,4.166105085253408,,100.0,62.0,0.0142560001928359,"[0.00774399982765317, 0.01990400068461895, 0.016736000776290894, 0.015424000099301338, 0.014431999996304512, 0.013791999779641628, 0.014047999866306782, 0.013632000423967838, 0.013376000337302685, 0.013472000136971474]",64.0,0.0,0.0,0.0,0,0.0,1000000.0,0.0,4.166105085253408,62.0,,1.967103919014335,0.0919499434530735,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,64,215,4.166261478879956,,100.0,64.0,0.0160895998589694,"[0.009535999968647957, 0.021215999498963356, 0.01788800023496151, 0.01692800037562847, 0.015936000272631645, 0.01664000004529953, 0.01603199914097786, 0.01583999954164028, 0.015263999812304974, 0.015615999698638916]",66.0,135.303,0.0021769711297181,724.1971369367093,0,486.3834520801902,2.1259483688653746e-06,3853339112.074531,4.166261478879956,64.0,,1.7239621374756098,40.57093570008874,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,64,235,4.166298554691335,,100.0,64.0,0.0162175999954342,"[0.009503999724984169, 0.02143999934196472, 0.018751999363303185, 0.016736000776290894, 0.01600000075995922, 0.016416000202298164, 0.015807999297976494, 0.015904000028967857, 0.01571200042963028, 0.015904000028967857]",66.0,135.266,0.0021936898809824,722.3603040911257,0,483.84292307309806,2.1422752743968884e-06,3823971689.308827,4.166298554691335,64.0,,1.9916330929845567,45.36633985117078,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,64,250,4.166266874126579,,100.0,63.0,0.016438400093466,"[0.009568000212311745, 0.021727999672293663, 0.01881599985063076, 0.017216000705957413, 0.016863999888300896, 0.01635199971497059, 0.016224000602960587, 0.015904000028967857, 0.01548799965530634, 0.016224000602960587]",66.0,135.265,0.0022235401886426,723.7552120350301,0,477.1347870118916,2.171425965471371e-06,3772636106.532736,4.166266874126579,63.0,,1.9788029603660109,42.323688976466656,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,128,100,8.330026508944563,,100.0,63.0,0.0168127998709678,"[0.010239999741315842, 0.021663999184966087, 0.01865600049495697, 0.017184000462293625, 0.01651199907064438, 0.016992000862956047, 0.016416000202298164, 0.01603199914097786, 0.015807999297976494, 0.018624000251293182]",64.0,103.182,0.0017347783162862,721.5657760389149,0,546.7985710129142,1.694119449498248e-06,4835550410.820351,8.330026508944563,63.0,,2.058313926681876,39.560000877827406,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,128,115,8.330062762358887,,100.0,63.0,0.0167647998780012,"[0.010015999898314476, 0.021503999829292297, 0.01929599978029728, 0.017184000462293625, 0.016575999557971954, 0.01708799973130226, 0.016543999314308167, 0.01616000011563301, 0.016672000288963318, 0.016607999801635742]",65.0,116.298,0.0019497126962117,733.5885260254145,0,522.3620738834143,1.9040163048943213e-06,4302484164.102093,8.330062762358887,63.0,,2.054494107142091,45.0831379275769,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,128,135,8.330035751369536,,100.0,63.0,0.0167584001086652,"[0.0098879998549819, 0.02223999984562397, 0.019200000911951065, 0.01820800080895424, 0.01740800030529499, 0.016383999958634377, 0.015647999942302704, 0.01539199985563755, 0.01679999940097332, 0.016416000202298164]",66.0,136.705,0.002290957086855,724.7733450494707,0,504.3372500222176,2.237262780131914e-06,3661617255.133964,8.330035751369536,63.0,,2.024763962253928,39.17719703167677,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,128,150,8.33000987773755,,100.0,63.0,0.0165248000063002,"[0.010015999898314476, 0.02191999927163124, 0.018624000251293182, 0.017055999487638474, 0.016575999557971954, 0.01696000061929226, 0.01648000068962574, 0.015807999297976494, 0.015584000386297703, 0.016224000602960587]",67.0,152.502,0.0025200650505607,730.8159458916634,0,502.0888349972665,2.461001025938276e-06,3328726771.609832,8.33000987773755,63.0,,2.0623141899704933,38.7507239356637,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,128,165,8.330021316480162,,100.0,63.0,0.016671999823302,"[0.009952000342309475, 0.021536000072956085, 0.01926399953663349, 0.017055999487638474, 0.016543999314308167, 0.016607999801635742, 0.016287999227643013, 0.015744000673294067, 0.015744000673294067, 0.017983999103307724]",67.0,152.732,0.0025463478770125,720.3522219788283,0,495.3497580718249,2.486667848645084e-06,3294368407.289937,8.330021316480162,63.0,,4.675182048231363,44.89185684360564,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,128,185,8.330067069552388,,100.0,64.0,0.0165663999505341,"[0.009920000098645687, 0.02191999927163124, 0.018751999363303185, 0.01711999997496605, 0.016448000445961952, 0.016607999801635742, 0.016704000532627106, 0.01603199914097786, 0.015744000673294067, 0.016416000202298164]",67.0,153.476,0.0025425447988081,731.2409349251539,0,501.7807711847127,2.4829539050861057e-06,3299296045.4156766,8.330067069552388,64.0,,2.0982339046895504,40.21551506593824,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,128,200,8.330029592827133,,100.0,64.0,0.0165504000149667,"[0.0098879998549819, 0.021888000890612602, 0.018719999119639397, 0.016863999888300896, 0.016448000445961952, 0.016575999557971954, 0.015936000272631645, 0.01583999954164028, 0.016127999871969223, 0.017216000705957413]",67.0,153.321,0.0025375238806947,724.285386968404,0,501.7644099425525,2.478050664740932e-06,3305824257.978372,8.330029592827133,64.0,,2.083224942907691,38.79254427738488,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,128,215,8.3300447961644,,100.0,64.0,0.0165472001768648,"[0.0098879998549819, 0.021888000890612602, 0.01881599985063076, 0.016992000862956047, 0.016127999871969223, 0.01583999954164028, 0.016127999871969223, 0.01708799973130226, 0.016256000846624374, 0.016448000445961952]",67.0,153.56,0.0025409880591593,730.8473321609199,0,502.18094303272665,2.4814336515228204e-06,3301317363.4413667,8.3300447961644,64.0,,2.071114024147392,41.186649817973375,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,128,235,8.330034352796302,,100.0,64.0,0.016931200120598,"[0.009920000098645687, 0.021536000072956085, 0.018592000007629395, 0.01788800023496151, 0.016896000131964684, 0.017311999574303627, 0.016704000532627106, 0.016256000846624374, 0.017343999817967415, 0.016863999888300896]",67.0,152.93,0.002589288434443,727.4666570592672,0,488.26334718614817,2.5286019867608046e-06,3239734858.586477,8.330034352796302,64.0,,2.066294196993113,40.32616363838315,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
1,128,250,8.330071127288125,,100.0,64.0,0.0167391999624669,"[0.0098879998549819, 0.022048000246286392, 0.019231999292969704, 0.017472000792622566, 0.016543999314308167, 0.016543999314308167, 0.01635199971497059, 0.016383999958634377, 0.016704000532627106, 0.016224000602960587]",67.0,153.347,0.0025669060966444,726.2888678815216,0,493.5966818593442,2.506744235004317e-06,3267983979.2215147,8.330071127288125,64.0,,2.0907740108668804,43.75803912989795,2025-03-27T10:53:56.141177,rq2_bayes_opt,4,256,16,256
